id,evidence_status,evidence_status_raw,filter_passed,prediction_source,postprocess_reason
12001,Yes,1,yes,soft_vote,score_no=0.00001316;score_yes=0.99998686;n_members=5
12002,Yes,1,yes,soft_vote,score_no=0.00009159;score_yes=0.99990841;n_members=5
12003,Yes,1,yes,soft_vote,score_no=0.00043345;score_yes=0.99956655;n_members=5
12004,Yes,1,yes,soft_vote,score_no=0.00003740;score_yes=0.99996259;n_members=5
12005,Yes,1,yes,soft_vote,score_no=0.00001421;score_yes=0.99998577;n_members=5
12006,Yes,1,yes,soft_vote,score_no=0.00001257;score_yes=0.99998744;n_members=5
12007,Yes,1,yes,soft_vote,score_no=0.00009063;score_yes=0.99990934;n_members=5
12008,Yes,1,yes,soft_vote,score_no=0.00000828;score_yes=0.99999173;n_members=5
12009,No,0,yes,soft_vote,score_no=0.77685363;score_yes=0.22314638;n_members=5
12010,Yes,1,yes,soft_vote,score_no=0.00048265;score_yes=0.99951736;n_members=5
12011,Yes,1,yes,soft_vote,score_no=0.00002348;score_yes=0.99997652;n_members=5
12012,Yes,1,yes,soft_vote,score_no=0.00011750;score_yes=0.99988251;n_members=5
12013,Yes,1,yes,soft_vote,score_no=0.00012171;score_yes=0.99987827;n_members=5
12014,Yes,1,yes,soft_vote,score_no=0.01189854;score_yes=0.98810145;n_members=5
12015,Yes,1,yes,soft_vote,score_no=0.00118766;score_yes=0.99881232;n_members=5
12016,Yes,1,yes,soft_vote,score_no=0.28279119;score_yes=0.71720880;n_members=5
12017,Yes,1,yes,soft_vote,score_no=0.00000781;score_yes=0.99999218;n_members=5
12018,Yes,1,yes,soft_vote,score_no=0.00055594;score_yes=0.99944405;n_members=5
12019,No,0,yes,soft_vote,score_no=0.97248694;score_yes=0.02751306;n_members=5
12020,No,0,yes,soft_vote,score_no=0.97543491;score_yes=0.02456510;n_members=5
12021,Yes,1,yes,soft_vote,score_no=0.01204816;score_yes=0.98795183;n_members=5
12022,Yes,1,yes,soft_vote,score_no=0.00078754;score_yes=0.99921245;n_members=5
12023,Yes,1,yes,soft_vote,score_no=0.00001728;score_yes=0.99998274;n_members=5
12024,Yes,1,yes,soft_vote,score_no=0.01153593;score_yes=0.98846408;n_members=5
12025,Yes,1,yes,soft_vote,score_no=0.00329122;score_yes=0.99670879;n_members=5
12026,No,0,yes,soft_vote,score_no=0.78588927;score_yes=0.21411071;n_members=5
12027,Yes,1,yes,soft_vote,score_no=0.00086000;score_yes=0.99913999;n_members=5
12028,Yes,1,yes,soft_vote,score_no=0.00003511;score_yes=0.99996491;n_members=5
12029,No,0,yes,soft_vote,score_no=0.67777046;score_yes=0.32222955;n_members=5
12030,Yes,1,yes,soft_vote,score_no=0.19481809;score_yes=0.80518190;n_members=5
12031,Yes,1,yes,soft_vote,score_no=0.00001694;score_yes=0.99998307;n_members=5
12032,Yes,1,yes,soft_vote,score_no=0.00001453;score_yes=0.99998545;n_members=5
12033,Yes,1,yes,soft_vote,score_no=0.00002069;score_yes=0.99997928;n_members=5
12034,Yes,1,yes,soft_vote,score_no=0.00004700;score_yes=0.99995301;n_members=5
12035,Yes,1,yes,soft_vote,score_no=0.00001656;score_yes=0.99998348;n_members=5
12036,Yes,1,yes,soft_vote,score_no=0.00003762;score_yes=0.99996238;n_members=5
12037,Yes,1,yes,soft_vote,score_no=0.00160315;score_yes=0.99839684;n_members=5
12038,Yes,1,yes,soft_vote,score_no=0.00864986;score_yes=0.99135009;n_members=5
12039,Yes,1,yes,soft_vote,score_no=0.00041490;score_yes=0.99958513;n_members=5
12040,Yes,1,yes,soft_vote,score_no=0.00028931;score_yes=0.99971068;n_members=5
12041,Yes,1,yes,soft_vote,score_no=0.00056151;score_yes=0.99943850;n_members=5
12042,Yes,1,yes,soft_vote,score_no=0.34464246;score_yes=0.65535756;n_members=5
12043,No,0,yes,soft_vote,score_no=0.82839180;score_yes=0.17160820;n_members=5
12044,Yes,1,yes,soft_vote,score_no=0.20812241;score_yes=0.79187760;n_members=5
12045,No,0,yes,soft_vote,score_no=0.57992337;score_yes=0.42007663;n_members=5
12046,No,0,yes,soft_vote,score_no=0.99988285;score_yes=0.00011716;n_members=5
12047,Yes,1,yes,soft_vote,score_no=0.00301200;score_yes=0.99698800;n_members=5
12048,Yes,1,yes,soft_vote,score_no=0.00025071;score_yes=0.99974928;n_members=5
12049,Yes,1,yes,soft_vote,score_no=0.00013070;score_yes=0.99986932;n_members=5
12050,Yes,1,yes,soft_vote,score_no=0.00001948;score_yes=0.99998052;n_members=5
12051,Yes,1,yes,soft_vote,score_no=0.00002288;score_yes=0.99997711;n_members=5
12052,Yes,1,yes,soft_vote,score_no=0.00115819;score_yes=0.99884182;n_members=5
12053,Yes,1,yes,soft_vote,score_no=0.00003533;score_yes=0.99996469;n_members=5
12054,Yes,1,yes,soft_vote,score_no=0.00007835;score_yes=0.99992166;n_members=5
12055,Yes,1,yes,soft_vote,score_no=0.00037288;score_yes=0.99962714;n_members=5
12056,Yes,1,yes,soft_vote,score_no=0.00272116;score_yes=0.99727880;n_members=5
12057,Yes,1,yes,soft_vote,score_no=0.02034651;score_yes=0.97965348;n_members=5
12058,Yes,1,yes,soft_vote,score_no=0.00002587;score_yes=0.99997413;n_members=5
12059,Yes,1,yes,soft_vote,score_no=0.02325283;score_yes=0.97674717;n_members=5
12060,Yes,1,yes,soft_vote,score_no=0.00001171;score_yes=0.99998829;n_members=5
12061,Yes,1,yes,soft_vote,score_no=0.00026228;score_yes=0.99973770;n_members=5
12062,Yes,1,yes,soft_vote,score_no=0.00012396;score_yes=0.99987604;n_members=5
12063,Yes,1,yes,soft_vote,score_no=0.10442943;score_yes=0.89557058;n_members=5
12064,Yes,1,yes,soft_vote,score_no=0.00003331;score_yes=0.99996667;n_members=5
12065,Yes,1,yes,soft_vote,score_no=0.00016232;score_yes=0.99983767;n_members=5
12066,Yes,1,yes,soft_vote,score_no=0.00013754;score_yes=0.99986245;n_members=5
12067,Yes,1,yes,soft_vote,score_no=0.00001184;score_yes=0.99998815;n_members=5
12068,Yes,1,yes,soft_vote,score_no=0.09539464;score_yes=0.90460534;n_members=5
12069,No,0,yes,soft_vote,score_no=0.99920137;score_yes=0.00079861;n_members=5
12070,Yes,1,yes,soft_vote,score_no=0.00001289;score_yes=0.99998710;n_members=5
12071,Yes,1,yes,soft_vote,score_no=0.00282370;score_yes=0.99717629;n_members=5
12072,Yes,1,yes,soft_vote,score_no=0.25264530;score_yes=0.74735471;n_members=5
12073,Yes,1,yes,soft_vote,score_no=0.00002979;score_yes=0.99997020;n_members=5
12074,Yes,1,yes,soft_vote,score_no=0.00054525;score_yes=0.99945474;n_members=5
12075,Yes,1,yes,soft_vote,score_no=0.00004583;score_yes=0.99995415;n_members=5
12076,Yes,1,yes,soft_vote,score_no=0.00010730;score_yes=0.99989269;n_members=5
12077,Yes,1,yes,soft_vote,score_no=0.00008802;score_yes=0.99991196;n_members=5
12078,Yes,1,yes,soft_vote,score_no=0.00009263;score_yes=0.99990738;n_members=5
12079,Yes,1,yes,soft_vote,score_no=0.00003541;score_yes=0.99996459;n_members=5
12080,Yes,1,yes,soft_vote,score_no=0.00011517;score_yes=0.99988483;n_members=5
12081,Yes,1,yes,soft_vote,score_no=0.00001983;score_yes=0.99998016;n_members=5
12082,Yes,1,yes,soft_vote,score_no=0.00002523;score_yes=0.99997478;n_members=5
12083,Yes,1,yes,soft_vote,score_no=0.00006126;score_yes=0.99993876;n_members=5
12084,Yes,1,yes,soft_vote,score_no=0.00546939;score_yes=0.99453063;n_members=5
12085,No,0,yes,soft_vote,score_no=0.54596675;score_yes=0.45403326;n_members=5
12086,Yes,1,yes,soft_vote,score_no=0.00004503;score_yes=0.99995499;n_members=5
12087,Yes,1,yes,soft_vote,score_no=0.00005751;score_yes=0.99994247;n_members=5
12088,Yes,1,yes,soft_vote,score_no=0.00086305;score_yes=0.99913696;n_members=5
12089,Yes,1,yes,soft_vote,score_no=0.00449077;score_yes=0.99550924;n_members=5
12090,Yes,1,yes,soft_vote,score_no=0.00493090;score_yes=0.99506911;n_members=5
12091,Yes,1,yes,soft_vote,score_no=0.10037742;score_yes=0.89962257;n_members=5
12092,No,0,yes,soft_vote,score_no=0.77470179;score_yes=0.22529821;n_members=5
12093,No,0,yes,soft_vote,score_no=0.99983139;score_yes=0.00016860;n_members=5
12094,Yes,1,yes,soft_vote,score_no=0.00002508;score_yes=0.99997494;n_members=5
12095,Yes,1,yes,soft_vote,score_no=0.35974563;score_yes=0.64025436;n_members=5
12096,Yes,1,yes,soft_vote,score_no=0.00005900;score_yes=0.99994100;n_members=5
12097,Yes,1,yes,soft_vote,score_no=0.00002908;score_yes=0.99997089;n_members=5
12098,Yes,1,yes,soft_vote,score_no=0.00006870;score_yes=0.99993126;n_members=5
12099,No,0,yes,soft_vote,score_no=0.92141619;score_yes=0.07858381;n_members=5
12100,Yes,1,yes,soft_vote,score_no=0.00022590;score_yes=0.99977409;n_members=5
12101,Yes,1,yes,soft_vote,score_no=0.00038794;score_yes=0.99961211;n_members=5
12102,Yes,1,yes,soft_vote,score_no=0.01504541;score_yes=0.98495457;n_members=5
12103,No,0,yes,soft_vote,score_no=0.99995906;score_yes=0.00004092;n_members=5
12104,Yes,1,yes,soft_vote,score_no=0.00003668;score_yes=0.99996328;n_members=5
12105,Yes,1,yes,soft_vote,score_no=0.00011109;score_yes=0.99988891;n_members=5
12106,Yes,1,yes,soft_vote,score_no=0.00000863;score_yes=0.99999137;n_members=5
12107,Yes,1,yes,soft_vote,score_no=0.40679752;score_yes=0.59320245;n_members=5
12108,Yes,1,yes,soft_vote,score_no=0.00000943;score_yes=0.99999056;n_members=5
12109,Yes,1,yes,soft_vote,score_no=0.00001384;score_yes=0.99998615;n_members=5
12110,No,0,yes,soft_vote,score_no=0.99985329;score_yes=0.00014671;n_members=5
12111,Yes,1,yes,soft_vote,score_no=0.00001880;score_yes=0.99998121;n_members=5
12112,Yes,1,yes,soft_vote,score_no=0.00004780;score_yes=0.99995217;n_members=5
12113,Yes,1,yes,soft_vote,score_no=0.00001750;score_yes=0.99998250;n_members=5
12114,Yes,1,yes,soft_vote,score_no=0.00011098;score_yes=0.99988903;n_members=5
12115,Yes,1,yes,soft_vote,score_no=0.23788979;score_yes=0.76211022;n_members=5
12116,No,0,yes,soft_vote,score_no=0.99993112;score_yes=0.00006888;n_members=5
12117,Yes,1,yes,soft_vote,score_no=0.01075224;score_yes=0.98924776;n_members=5
12118,Yes,1,yes,soft_vote,score_no=0.00007817;score_yes=0.99992182;n_members=5
12119,Yes,1,yes,soft_vote,score_no=0.00021793;score_yes=0.99978207;n_members=5
12120,Yes,1,yes,soft_vote,score_no=0.00008164;score_yes=0.99991835;n_members=5
