id,evidence_status,evidence_status_raw,filter_passed,prediction_source,postprocess_reason
12001,Yes,Yes,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""瑞昱亦相當重視提升同仁的工作生活平衡與健康認知，因此長年關注與持續規劃執行涵蓋全體同仁 (包含約聘同仁) 之相關促進方案。"",""evidence_status"":""Yes"",""evidence_str"":""例如：建置各類社團、設置瑞昱元氣活力館、悅讀小棧及悅讀館圖書室、舉辦各項團隊創新活力的精彩活動與運動賽事、開設多元主題的瑞昱知性生活系列講座，以及定期提供健康促進與疾病預防相關講座與資訊分享。""}<end_of_turn>
<eos>"
12002,Yes,Yes,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""提供融資對象綠色優惠貸款，並積極對符合「永續經濟活動認定參考指引」之產業、相關經濟活動及具備轉型需求之企業提供適切的金融支持，以協助其有序轉型，降低對本集團收益之衝擊。 ｜ 將氣候變遷風險納入風險管理政策，並將風險評估結果及抵減措施執行情形提報風險管理委員會、審計委員會及董事會，持續參與銀行公會氣候變遷風險管理及壓力測試專案，針對授信碳排大戶進行轉型風險分析，且對保險子公司投資部位進行有序轉型、無序轉型及太少太晚三種情境分析。"",""evidence_status"":""Yes"",""evidence_str"":""加入PCAF及SBTi倡議，透過PCAF方法學盤查集團投融資部位財務碳排放量，並訂定SBT減碳目標獲准審查通過。""}<end_of_turn>
<eos>"
12003,N/A,N/A,yes,gemma_direct,"{""promise_status"":""No"",""promise_str"":"""",""evidence_status"":""N/A"",""evidence_str"":""""}<end_of_turn>
<eos>"
12004,No,,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""萬海積極應對國際海事組織 ( IMO ) 實施的現有船能效指標指數 ( EEXI )、新造船之能源效率設計指數 ( EEDI ) 及船舶碳強度指標 ( CII ) 規範。"",""evidence_status"":""Yes"",""evidence_str"":""透過船舶的汰舊換新和改裝,制定合適的航行計畫,以及實施有效率的航行操作,同時結合數據監控技術,實現節能減碳的目標。  ｜ 萬海的新造船 EEDI 均符合現行法規的要求, 2024 年新船平均 EEDI 為 12.15 克 CO₂/ 公噸 - 海浬, 其中 13,000 TEU 系列船更達到 Phase 3 標準。除了 EEDI 之外, 自 2023 年 1 月 1 日起, 所有現有船舶必須符合 EEXI 及 CII 的規範, 不符合標準者必須提出改善計畫, 否則可能面臨被汰換的風險。為履行環境保護的承諾, 萬海船隊憑藉精"
12005,Yes,Yes,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""為更積極推動供應商永續管理，履行企業永續發展承諾與責任，強化供應商 CSR 項目之表現，"",""evidence_status"":""Yes"",""evidence_str"":""自 2019 年起，連續 6 年共邀請 289 家供應商共同參與金控供應商永續管理評鑑作業，目的為透過 CSR 審查了解各供應商實行永續推動情形並強化各合作廠商能與國際標準對接，且與供應商分享「碳管理」理念及作法，宣導氣候變遷對地球之影響，建構「供應商永續管理」之關係，推廣永續採購政策，希望由下而上提升整體產業價值鏈，發揮企業領導與串聯各界影響力，攜手供應商以互惠互利的共生模式，共同實踐企業社會責任。""}<end_of_turn>
<eos>"
12006,No,,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""子公司華南銀行總行大樓於 2016 年起導入「ISO 14001 環境管理系統」及「ISO14064-1 組織型溫室氣體盤查」，自發性改善環境管理品質，降低對環境層面可能衝擊，並掌握溫室氣體排放量。在此基礎上，進一步於 2018 年導入「ISO 50001 能源管理系統」，透過能源審查、基線建置及能源績效指標檢視，以找出潛在節能處，且鼓勵同仁們持續改善能源使用，其節能改善效果可由後續溫室氣體盤查結果確認。2022 年更導入「ISO 46001 水資源效率管理系統」並取得認證，透過實施及優化重大用水設備日常管理，以及用水審查與績效檢討之方式強化水資源管理。以上盤查與管理於 2024 年均再次取得認證或續證，作為積極推動環境永續管理之基礎，持續朝自身營"
12007,Yes,Yes,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""為加強本公司在風險意識，定期進行針對可能影響公司營運的重要風險進行敏感度分析及壓力測試。"",""evidence_status"":""Yes"",""evidence_str"":""透過風險敏感度分析，可量化不同風險對財務的影響性。此外，壓力測試能夠模擬劇烈風險波動情境，使公司了解在極端情況下的承受能力。透過這些分析和測試，能夠更好評估、管理和應對風險，確保公司的穩定營運以實現永續發展。""}<end_of_turn>
<eos>"
12008,Yes,Yes,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""兆豐集團致力於防制洗錢及打擊資恐業務，"",""evidence_status"":""Yes"",""evidence_str"":""透過每年不定期邀請內外部專家辦理洗錢防制教育訓練及相關講座課程，舉辦形式包含實體講座、數位學習、視訊訓練等，進而提升防制洗錢及打擊資恐人員之專業知識與技能，2024 年應完成法定時數之人員完訓率達 100%。""}<end_of_turn>
<eos>"
12009,Yes,Yes,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""針對越南特有的健康風險，將加強防蚊叮咬、飲食安全等方面的指導。"",""evidence_status"":""Yes"",""evidence_str"":""提供出差目的地防疫及衛教訊息。提供旅遊醫學門診及疫苗施打補助。健檢異常者出國前醫師面談。返國 14 天內追蹤。2024 統計越南是出差人數最多的國家。""}<end_of_turn>
<eos>"
12010,Yes,Yes,yes,gemma_direct,"{""promise_status"":""Yes"",""promise_str"":""為強化永續治理，富邦人壽持續優化董事會的 ESG 監督職能，將永續發展、誠信經營及公平待客原則的推動情形納入董事會績效評估的重要指標。"",""evidence_status"":""Yes"",""evidence_str"":""建立永續發展委員會之績效考核機制，確保 ESG 策略的有效落實。""}<end_of_turn>
<eos>"
