id,evidence_quality,evidence_quality_raw,evidence_quality_source,evidence_quality_reason
12001,Clear,0,bert_multitask,score_clear=0.96448982;score_not_clear=0.03469585;score_misleading=0.00081425
12002,Clear,0,bert_multitask,score_clear=0.99218655;score_not_clear=0.00697161;score_misleading=0.00084179
12003,Clear,0,bert_multitask,score_clear=0.91619641;score_not_clear=0.08006574;score_misleading=0.00373794
12004,Clear,0,bert_multitask,score_clear=0.99206805;score_not_clear=0.00661416;score_misleading=0.00131785
12005,Clear,0,bert_multitask,score_clear=0.94029933;score_not_clear=0.05896247;score_misleading=0.00073810
12006,Clear,0,bert_multitask,score_clear=0.99766219;score_not_clear=0.00163623;score_misleading=0.00070157
12007,Not Clear,1,bert_multitask,score_clear=0.05727831;score_not_clear=0.94184768;score_misleading=0.00087401
12008,Clear,0,bert_multitask,score_clear=0.92078096;score_not_clear=0.07735143;score_misleading=0.00186761
12009,Not Clear,1,bert_multitask,score_clear=0.31449020;score_not_clear=0.68138260;score_misleading=0.00412722
12010,Not Clear,1,bert_multitask,score_clear=0.11261444;score_not_clear=0.88649672;score_misleading=0.00088881
12011,Clear,0,bert_multitask,score_clear=0.99378067;score_not_clear=0.00531459;score_misleading=0.00090478
12012,Clear,0,bert_multitask,score_clear=0.97360355;score_not_clear=0.02343358;score_misleading=0.00296281
12013,Clear,0,bert_multitask,score_clear=0.99370849;score_not_clear=0.00378797;score_misleading=0.00250346
12014,Clear,0,bert_multitask,score_clear=0.99406528;score_not_clear=0.00450494;score_misleading=0.00142969
12015,Not Clear,1,bert_multitask,score_clear=0.34971067;score_not_clear=0.64874786;score_misleading=0.00154145
12016,Clear,Clear,codex_fallback,mt_conf=0.559700<0.6;codex=Clear
12017,Clear,0,bert_multitask,score_clear=0.91828001;score_not_clear=0.07850466;score_misleading=0.00321542
12018,Clear,0,bert_multitask,score_clear=0.99764496;score_not_clear=0.00165921;score_misleading=0.00069586
12019,Not Clear,Not Clear,codex_fallback,mt_conf=0.582867<0.6;codex=Not Clear
12020,Not Clear,1,bert_multitask,score_clear=0.04066141;score_not_clear=0.95835763;score_misleading=0.00098092
12021,Not Clear,1,bert_multitask,score_clear=0.02856802;score_not_clear=0.97065663;score_misleading=0.00077531
12022,Clear,0,bert_multitask,score_clear=0.86513484;score_not_clear=0.13334490;score_misleading=0.00152024
12023,Clear,0,bert_multitask,score_clear=0.96467894;score_not_clear=0.03392648;score_misleading=0.00139453
12024,Clear,0,bert_multitask,score_clear=0.78602475;score_not_clear=0.21104248;score_misleading=0.00293278
12025,Not Clear,1,bert_multitask,score_clear=0.36716640;score_not_clear=0.62871861;score_misleading=0.00411493
12026,Not Clear,1,bert_multitask,score_clear=0.01205419;score_not_clear=0.98727965;score_misleading=0.00066620
12027,Clear,0,bert_multitask,score_clear=0.84607989;score_not_clear=0.15090850;score_misleading=0.00301162
12028,Clear,0,bert_multitask,score_clear=0.90342027;score_not_clear=0.09403175;score_misleading=0.00254796
