id,evidence_status,evidence_status_raw,filter_passed,prediction_source,postprocess_reason
12029,Yes,"{""promise_status"":""Yes"",""promise_str"":""期盼能成為台灣邁向淨零排放的助力。"",""evidence_status"":""Yes"",""evidence_str"":""除了企業內部推動淨零行動，日月光投控也透過參與氣候相關行業協會組織，交流最新淨零排放趨勢、進行相關倡議與提供政府制定氣候變遷相關法案參考建議等，""}<end_of_turn>
<eos>",yes,gemma_low_conf,score_no=0.69976240;score_yes=0.30023760;n_members=5|gemma:local_norag:tau=0.70:conf=0.6998
12042,Yes,"{""promise_status"":""Yes"",""promise_str"":""促進人才永續，提升企業永續競爭力"",""evidence_status"":""Yes"",""evidence_str"":""強化人力資源管理，導入DEI與TIFD等多元共融指標。  ● 建立人才招募與留任策略，推動永續導向培訓與福祉制度。  ● 將永續文化轉化為員工價值主張 (EVP)，深化組織認同感。""}<end_of_turn>
<eos>",yes,gemma_low_conf,score_no=0.33579901;score_yes=0.66420098;n_members=5|gemma:local_norag:tau=0.70:conf=0.6642
12045,Yes,"{""promise_status"":""Yes"",""promise_str"":""向「零危害、零污染」的目標邁進。"",""evidence_status"":""Yes"",""evidence_str"":""員工健康與安全是集團的立身之本，集團嚴格遵循各國當地政府的化學品安全相關法規及客戶的限用物質規範要求，以全程監控為基礎，堅持有害物質「不設計、不採購、不流入、不製造、不產出」的五不原則，對生產營運過程中涉及的化學物質分級管控，最大限度的減少、控制和消除有害物質對員工健康及環境的影響，""}<end_of_turn>
<eos>",yes,gemma_low_conf,score_no=0.58313342;score_yes=0.41686661;n_members=5|gemma:local_norag:tau=0.70:conf=0.5831
12085,Yes,"{""promise_status"":""Yes"",""promise_str"":""未來，我們將更嚴格要求供應商誠實並完整的揭露產品中是否含有使用來自於受衝突影響地區和高風險地區之責任礦產與鈷礦產來源，並透過每年供應商大會持續宣導負責任礦產之相關要求，以達到不直接或間接助益其武裝衝突組織之目的。"",""evidence_status"":""Yes"",""evidence_str"":""近年，和碩積極與客戶配合，以達成100%產品使用的礦產來源皆不來自於衝突地區和高風險地區之目標，以符合客戶的要求，並積極展開鈷礦產調查。""}<end_of_turn>
<eos>",yes,gemma_low_conf,score_no=0.54586587;score_yes=0.45413413;n_members=5|gemma:local_norag:tau=0.70:conf=0.5459
12095,No,"{""promise_status"":""Yes"",""promise_str"":""針對氣候變遷帶來的風險與機會，萬海將相關因應策略納入年度預算與業務規劃，並監控轉型風險與機會，如法規變動與客戶環保意識提升；同時，針對極端天氣等影響船舶安全及碼頭作業的實體風險，編列預算優化監控系統並購買氣象資料，強化船舶航行安全。"",""evidence_status"":""No"",""evidence_str"":""""}<end_of_turn>
<eos>",yes,gemma_low_conf,score_no=0.36895206;score_yes=0.63104791;n_members=5|gemma:local_norag:tau=0.70:conf=0.6310
12107,Yes,"{""promise_status"":""Yes"",""promise_str"":""並訂定以 2019 為基準年，每年節水 1% 的目標，故 2024 年減量目標為相較 2019 年減量 5%，"",""evidence_status"":""Yes"",""evidence_str"":""2024 年實際用水減量 31%，達成年度目標。""}<end_of_turn>
<eos>",yes,gemma_low_conf,score_no=0.40644429;score_yes=0.59355570;n_members=5|gemma:local_norag:tau=0.70:conf=0.5936
12135,Yes,"{""promise_status"":""Yes"",""promise_str"":""為強化董事會多元化目標，未來改選董事時將提高女性董事席次，以增進董事會性別多元化。"",""evidence_status"":""Yes"",""evidence_str"":""2024 年男性年平均薪酬與女性比例為 1 : 1.31。2024 年無發生違反人權相關及性騷擾事件。""}<end_of_turn>
<eos>",yes,gemma_low_conf,score_no=0.55769511;score_yes=0.44230490;n_members=5|gemma:local_norag:tau=0.70:conf=0.5577
12142,Yes,"{""promise_status"":""Yes"",""promise_str"":""本公司持續關注社會變遷相關議題，包含人口結構變化、城鄉差異擴大、民眾保險保障觀念待持續提升等，並透過公司資源及人力投入，協助解決社會重要議題，善盡壽險業社會責任。"",""evidence_status"":""Yes"",""evidence_str"":""同時本公司積極參與外部公協會，攜手產官學合作，共同推動壽險業朝永續發展方向不斷邁進（本公司參與之協會，請詳附錄 7、富邦人壽參與之協會）。""}<end_of_turn>
<eos>",yes,gemma_low_conf,score_no=0.34183742;score_yes=0.65816255;n_members=5|gemma:local_norag:tau=0.70:conf=0.6582
12152,No,"{""promise_status"":""No"",""promise_str"":"""",""evidence_status"":""N/A"",""evidence_str"":""""}<end_of_turn>
<eos>",yes,gemma_low_conf,score_no=0.46590744;score_yes=0.53409256;n_members=5|gemma:local_norag:tau=0.70:conf=0.5341
12230,No,"{""promise_status"":""No"",""promise_str"":"""",""evidence_status"":""N/A"",""evidence_str"":""""}<end_of_turn>
<eos>",yes,gemma_low_conf,score_no=0.33210843;score_yes=0.66789156;n_members=5|gemma:local_norag:tau=0.70:conf=0.6679
12254,No,"{""promise_status"":""Yes"",""promise_str"":""聯發科技以國際性的視野，運籌全球優秀人才資源，以「全球布局、在地實踐」的方式，為世界各地的客戶提供即時且優質的產品及服務，以永續發展的態度持續追求所在產業的領導地位。"",""evidence_status"":""No"",""evidence_str"":""""}<end_of_turn>
<eos>",yes,gemma_low_conf,score_no=0.39714849;score_yes=0.60285151;n_members=5|gemma:local_norag:tau=0.70:conf=0.6029
12281,Yes,"{""promise_status"":""Yes"",""promise_str"":""合庫每年依員工健康檢查、健康管理成效及流行病學等指標，規劃新年度健康管理計畫與活動，"",""evidence_status"":""Yes"",""evidence_str"":""醫師臨場服務、多元主題健康講座、健康運動宣導等，依安全狀況反應通報事件及危害鑑別統計實施風險評估，制定預防代謝症候群、預防員工上下班交通意外、提升職場安全等目標管理方案，並對風險議題設置控制措施、檢討實施成效。""}<end_of_turn>
<eos>",yes,gemma_low_conf,score_no=0.43098185;score_yes=0.56901817;n_members=5|gemma:local_norag:tau=0.70:conf=0.5690
12287,Yes,"{""promise_status"":""Yes"",""promise_str"":""公司已強化作業規範與教育訓練，盤查潛在風險作業場域，優化安全機制，研擬防範措施，以降低工安風險，確保員工安全。"",""evidence_status"":""Yes"",""evidence_str"":""2024 年發生 5 起職業傷害，導致工安零災害目標未達標。2 起傷害為被機械設備夾傷，1 起管路維修與高溫接觸傷害，1 起被堆高機碰撞傷害，1 起走路跌倒傷害。""}<end_of_turn>
<eos>",yes,gemma_low_conf,score_no=0.54331490;score_yes=0.45668510;n_members=5|gemma:local_norag:tau=0.70:conf=0.5433
12301,Yes,"{""promise_status"":""Yes"",""promise_str"":""我們承諾與產業協會合作識別及尋找有害物質的替代品，並持續投入研發資源開發替代方案或逐步汰除有害物質。"",""evidence_status"":""Yes"",""evidence_str"":""2002 年台達建立環境有害物質管理政策與規範，從產品設計到製造產出，包括構成台達產品料號的零件、製程化學品、治具以及包裝材料均納入管理體系，以期達成最全面的管理。""}<end_of_turn>
<eos>",yes,gemma_low_conf,score_no=0.59884917;score_yes=0.40115085;n_members=5|gemma:local_norag:tau=0.70:conf=0.5988
12332,Yes,"{""promise_status"":""Yes"",""promise_str"":""智邦將持續推動改善措施，並訂定積極目標，以確保持續提升員工的安全與健康保障。"",""evidence_status"":""Yes"",""evidence_str"":""目標為：每年 FR、SR 之數值，相較前一年需分別降低 5%。""}<end_of_turn>
<eos>",yes,gemma_low_conf,score_no=0.54662995;score_yes=0.45337006;n_members=5|gemma:local_norag:tau=0.70:conf=0.5466
12335,Yes,"{""promise_status"":""Yes"",""promise_str"":""承諾在 2030 年前實現營運活動碳中和、2050 年前實現價值鏈淨零排放。"",""evidence_status"":""Yes"",""evidence_str"":""緯創的科學基礎減碳目標（SBT）已於 2024 年通過官方審核，""}<end_of_turn>
<eos>",yes,gemma_low_conf,score_no=0.43988583;score_yes=0.56011417;n_members=5|gemma:local_norag:tau=0.70:conf=0.5601
12357,Yes,"{""promise_status"":""Yes"",""promise_str"":""公司積極提升產能規模，機台自動化程度，以創造獲利成長。"",""evidence_status"":""Yes"",""evidence_str"":""2024 年人才招募管道：人力銀行、校園徵才、員工推薦、政府就服站、就業博覽會、廠外紅布條、獵人頭公司、大學院校合作、線上徵才、內部徵才…等；持續鎖定招募有相關理工背景或是跨領域整合能力的頂尖人才，開發更高階規格鏡頭，加上裝載鏡頭數逐漸增加，""}<end_of_turn>
<eos>",yes,gemma_low_conf,score_no=0.39464462;score_yes=0.60535538;n_members=5|gemma:local_norag:tau=0.70:conf=0.6054
12359,Yes,"{""promise_status"":""Yes"",""promise_str"":""透過各界攜手合作，不僅改善河川環境、維護當地生態平衡，更從環境教育著手，從小培養孩子們的環境保育意識。"",""evidence_status"":""Yes"",""evidence_str"":""2024 濁水溪白蛤季的舉辦，不僅吸引在地觀光人潮，更帶動地方經濟成長，讓社區共享發展機會，凝聚在地共識，為未來的環境保護與區域永續發展奠定堅實而穩固的基礎。""}<end_of_turn>
<eos>",yes,gemma_low_conf,score_no=0.51571144;score_yes=0.48428853;n_members=5|gemma:local_norag:tau=0.70:conf=0.5157
12394,Yes,"{""promise_status"":""Yes"",""promise_str"":""未來亦將依循營運持續管理之國際標準 ISO 22301 與最佳實務，持續精進與深化營運持續管理體系，及培育相關人才，以期於風險事件發生時能迅速反應、減輕公司損害，維持與回復關鍵業務之營運能力，展現企業韌性以落實永續經營。"",""evidence_status"":""Yes"",""evidence_str"":""本公司基於董事會核定之「營運持續管理政策」所揭示維護人員安全、保障客戶權益的承諾，""}<end_of_turn>
<eos>",yes,gemma_low_conf,score_no=0.34634864;score_yes=0.65365134;n_members=5|gemma:local_norag:tau=0.70:conf=0.6537
12399,Yes,"{""promise_status"":""Yes"",""promise_str"":""期盼能提升員工對於世代多樣性的認知，並在公司內部營造更緊密的世代聯繫。"",""evidence_status"":""Yes"",""evidence_str"":""2023 年在總部成立— I-Connect (Intergeneration Connect) 跨世代員工社群，旨在搭建一個溝通和學習的平臺，促進不同年齡層員工之間的交流。I-Connect 的成立，不僅體現了我們對世代多樣性的重視，更是推動正向合作與創新的重要一步。""}<end_of_turn>
<eos>",yes,gemma_low_conf,score_no=0.49233836;score_yes=0.50766164;n_members=5|gemma:local_norag:tau=0.70:conf=0.5077
12407,Yes,"{""promise_status"":""Yes"",""promise_str"":""為落實與提昇資通安全治理策略，"",""evidence_status"":""Yes"",""evidence_str"":""瑞昱設立資通安全委員會負責檢視資安政策制定與執行成效。資通安全委員會由總經理擔任主席，各單位一級主管擔任當然委員，每年至少舉行一次委員會議，並向董事會報告資安整體執行情形。""}<end_of_turn>
<eos>",yes,gemma_low_conf,score_no=0.47116525;score_yes=0.52883475;n_members=5|gemma:local_norag:tau=0.70:conf=0.5288
12452,Yes,"{""promise_status"":""Yes"",""promise_str"":""規劃對未來要投資新建的牧場，給予導入參考建議。"",""evidence_status"":""Yes"",""evidence_str"":""全台首創「發酵循環畜舍」，以泥土地基底，翻土促進廢棄物發酵，轉化為天然睡墊，減少污染並優化牛隻生活環境。目前已有牧場導入此技術，""}<end_of_turn>
<eos>",yes,gemma_low_conf,score_no=0.49701105;score_yes=0.50298896;n_members=5|gemma:local_norag:tau=0.70:conf=0.5030
12490,No,"{""promise_status"":""No"",""promise_str"":"""",""evidence_status"":""N/A"",""evidence_str"":""""}<end_of_turn>
<eos>",yes,gemma_low_conf,score_no=0.54627305;score_yes=0.45372695;n_members=5|gemma:local_norag:tau=0.70:conf=0.5463
12559,No,"{""promise_status"":""Yes"",""promise_str"":""集團確保研發成果的「自由運營(Freedom-to-Operate, FTO)」，配合研發方向與進程，以及產品於各國行銷狀況，儘早與適時申請專利。 ｜ 配合藥證申請與上市行銷規劃，適時申請各國商標註冊，以符合藥監機關之要求。 ｜ 同時，關注市場變化、業務推展、產品使用、創新研發等各方面的反饋，以持續強化相關專利與商標的申請，並監控全球相近技術、產品、商標的發展進度，進行必要之因應措施。"",""evidence_status"":""No"",""evidence_str"":""""}<end_of_turn>
<eos>",yes,gemma_low_conf,score_no=0.41565489;score_yes=0.58434510;n_members=5|gemma:local_norag:tau=0.70:conf=0.5843
12569,Yes,"{""promise_status"":""Yes"",""promise_str"":""玉山期望透過與各利害關係者的持續合作，不僅使瓦拉米計畫邁向個十年，更引領臺灣農業向永續發展的美好未來邁進。"",""evidence_status"":""Yes"",""evidence_str"":""持續展現我們的 ESG 精神，不僅在國內分享這段珍貴的經歷，還在國際舞台上，於紐約氣候週的世界生物多樣性峰會（World Biodiversity Summit）和聯合國氣候變化大會（COP29）上向全球介紹臺灣的美麗與成就。""}<end_of_turn>
<eos>",yes,gemma_low_conf,score_no=0.54756466;score_yes=0.45243533;n_members=5|gemma:local_norag:tau=0.70:conf=0.5476
12608,No,"{""promise_status"":""Yes"",""promise_str"":""本公司及子公司制訂完整的事故調查流程，即時追蹤、辨識評估到協助支援，確實瞭解事故原因並防止再發生。 ｜ 調查完成後，各事業部指派員工接受專業訓練，提升調查能力，必要時可跨公司或跨廠處協助調查。"",""evidence_status"":""No"",""evidence_str"":""""}<end_of_turn>
<eos>",yes,gemma_low_conf,score_no=0.40857948;score_yes=0.59142053;n_members=5|gemma:local_norag:tau=0.70:conf=0.5914
12626,No,"{""promise_status"":""Yes"",""promise_str"":""一直以「預防管理」的積極態度面對災害風險管理的範疇，也藉由縝謹的風險工程控制、安全規範與基準的落實管理，追求達到半導體產業安全的最高標準。"",""evidence_status"":""No"",""evidence_str"":""""}<end_of_turn>
<eos>",yes,gemma_low_conf,score_no=0.67339198;score_yes=0.32660804;n_members=5|gemma:local_norag:tau=0.70:conf=0.6734
12643,Yes,"{""promise_status"":""Yes"",""promise_str"":""台泥預計自2026年依2025年排碳量繳納碳費，惟若能通過自主減量計畫的核定，則可適用碳洩漏風險係數值，有助於減少碳費財務衝擊。"",""evidence_status"":""Yes"",""evidence_str"":""2023年台灣通過「氣候變遷因應法」，並於2024年 8 月發布「碳費收費辦法」，""}<end_of_turn>
<eos>",yes,gemma_low_conf,score_no=0.38342235;score_yes=0.61657766;n_members=5|gemma:local_norag:tau=0.70:conf=0.6166
12646,No,"{""promise_status"":""No"",""promise_str"":"""",""evidence_status"":""N/A"",""evidence_str"":""""}<end_of_turn>
<eos>",yes,gemma_low_conf,score_no=0.58468950;score_yes=0.41531049;n_members=5|gemma:local_norag:tau=0.70:conf=0.5847
12666,No,"{""promise_status"":""No"",""promise_str"":"""",""evidence_status"":""N/A"",""evidence_str"":""""}<end_of_turn>
<eos>",yes,gemma_low_conf,score_no=0.48554262;score_yes=0.51445739;n_members=5|gemma:local_norag:tau=0.70:conf=0.5145
12683,Yes,"{""promise_status"":""Yes"",""promise_str"":""展望未來，儘管地緣政治緊張局勢加劇，國際衝突持續存在，客戶端庫存仍持續朝健康水位發展。公司將密切關注市場供需動態，並對 AI 應用的營運動能與未來展望保持樂觀。"",""evidence_status"":""Yes"",""evidence_str"":""本公司 2024 年全年度合併營收為新臺幣 1,216.67 億元，較去年同期增加 13.1%；稅後合併淨利為新臺幣 193.56 億元，每股稅後盈餘新臺幣 38.13 元。""}<end_of_turn>
<eos>",yes,gemma_low_conf,score_no=0.30094885;score_yes=0.69905114;n_members=5|gemma:local_norag:tau=0.70:conf=0.6991
12709,No,"{""promise_status"":""No"",""promise_str"":"""",""evidence_status"":""N/A"",""evidence_str"":""""}<end_of_turn>
<eos>",yes,gemma_low_conf,score_no=0.34780000;score_yes=0.65220001;n_members=5|gemma:local_norag:tau=0.70:conf=0.6522
12713,Yes,"{""promise_status"":""Yes"",""promise_str"":""已設定以 2023 年為基準年，於 2030 年達成減碳 30%，2050 年依政府及國際規範達成淨零碳排。同前述減碳目標，同步設定以 2023 年為基準年，於 2030 年時綠電減碳應達 25%。"",""evidence_status"":""Yes"",""evidence_str"":""詳細減碳目標與減碳成效請見 4.2.3 減碳目標、行動與成效。有關再生能源使用相關資訊，請見 4.2.1 能源使用與管理。""}<end_of_turn>
<eos>",yes,gemma_low_conf,score_no=0.52648110;score_yes=0.47351890;n_members=5|gemma:local_norag:tau=0.70:conf=0.5265
12732,No,"{""promise_status"":""Yes"",""promise_str"":""中華電信將持續強化氣候治理機制，深化並擴展減碳行動。我們將不斷自我提升，成為低碳、綠色發展的領導企業。"",""evidence_status"":""No"",""evidence_str"":""""}<end_of_turn>
<eos>",yes,gemma_low_conf,score_no=0.66842558;score_yes=0.33157442;n_members=5|gemma:local_norag:tau=0.70:conf=0.6684
12733,No,"{""promise_status"":""No"",""promise_str"":"""",""evidence_status"":""N/A"",""evidence_str"":""""}<end_of_turn>
<eos>",yes,gemma_low_conf,score_no=0.34967505;score_yes=0.65032495;n_members=5|gemma:local_norag:tau=0.70:conf=0.6503
12749,No,"{""promise_status"":""No"",""promise_str"":"""",""evidence_status"":""N/A"",""evidence_str"":""""}<end_of_turn>
<eos>",yes,gemma_low_conf,score_no=0.40517605;score_yes=0.59482395;n_members=5|gemma:local_norag:tau=0.70:conf=0.5948
12767,Yes,"{""promise_status"":""Yes"",""promise_str"":""以發展更具成效的永續性政策且具包容性的回應。"",""evidence_status"":""Yes"",""evidence_str"":""2024 年報告書反映出世芯電子已善盡利害關係人的參與，並建立重大永續主題，""}<end_of_turn>
<eos>",yes,gemma_low_conf,score_no=0.42680766;score_yes=0.57319232;n_members=5|gemma:local_norag:tau=0.70:conf=0.5732
12781,Yes,"{""promise_status"":""Yes"",""promise_str"":""以實現男女同工同酬的目標。"",""evidence_status"":""Yes"",""evidence_str"":""本行所有職務起薪均優於勞動基準法規定之基本工資，不因性別或其他因素而有所差異。同時每年於永續報告書定期揭露性別薪酬指標，並了解金融同業揭露資訊掌握男女薪資差距，推行相關管理措施、拔擢表現優異之女性主管，升任公司管理階層，""}<end_of_turn>
<eos>",yes,gemma_low_conf,score_no=0.31287768;score_yes=0.68712234;n_members=5|gemma:local_norag:tau=0.70:conf=0.6871
12816,Yes,"{""promise_status"":""Yes"",""promise_str"":""每年一次由永續發展委員會審議並提報董事會通過後，對外發佈以向利害關係人溝通。"",""evidence_status"":""Yes"",""evidence_str"":""永續發展委員會以總經理室為幕僚作業部門，設有「永續及風險管理工作小組」，由總經理擔任召集人，各機能組分別負責不同職能領域，負責推動公司風險管理、企業社會責任及氣候變遷調適等永續相關工作。工作成果編製彙整於永續報告書，""}<end_of_turn>
<eos>",yes,gemma_low_conf,score_no=0.41012112;score_yes=0.58987888;n_members=5|gemma:local_norag:tau=0.70:conf=0.5899
